Destination/Source,Armor Xemnas I,Armor Xemnas II,Axel I,Axel II,Barbossa,Blizzard Lord,Cerberus,Cloud,Dark Thorn,Demyx,Demyx OC,Final Xemnas,Grim Reaper I,Grim Reaper II,Groundshaker,Hades II,Hayner,Hercules,Hostile Program,Hydra,Jafar,Larxene,Leon,Lexaeus,Luxord,Marluxia,Oogie Boogie,Past Pete,Pete TR,Prison Keeper,Riku,Roxas,Saix,Sark,Scar,Seifer,Sephiroth,Setzer,Shadow Stalker,Shan-Yu,Storm Rider,Terra,The Beast,The Experiment,Thresholder,Tifa,Twilight Thorn,Vexen,Vivi,Volcano Lord,Xaldin,Xemnas,Xigbar,Yuffie,Zexion
Oogie Boogie,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Past Pete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pete TR,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prison Keeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roxas,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,X,,,,,
Saix,,X,,,,X,,X,,,,,,,X,X,X,X,,,,,X,,,,,,X,,X,,,,X,X,,X,,,,,,,,X,,,X,X,,,,X,
Sark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seifer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sephiroth,,X,X,X,,G,,X,,,,,,,,,X,,,,,,X,,,,,,,,,,,,,X,,X,,,,,,,,X,X,,X,X,,,,X,
Setzer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shadow Stalker,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Shan-Yu,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Storm Rider,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Terra,,,,,,X,,X,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,X,,,,X,,,,X,
The Beast,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
The Experiment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thresholder,,,,,X,X,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,,,X,,,,,
Tifa,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,X,,X,,,,,,,,,,,X,,,,,,
Twilight Thorn,,X,X,X,,X,,,,,X,,X,,X,X,X,,,,,,,,,,X,X,,X,,,,X,X,X,,X,X,,,,,,,,,X,X,X,,X,,,
Vexen,,,,,,X,,X,,,,,,,,,X,X,,,,,X,,,,,,X,,X,,,,,X,,X,,,,,,,,X,,,X,X,,,,X,
Vivi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volcano Lord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xaldin,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Xemnas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xigbar,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,,,,,,X,,,,,
Yuffie,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,X,,X,,,,,,,,,,,X,,,,,,
Zexion,,,,,,X,,X,,,,,,,X,X,X,X,,,,,X,,,,,,X,,X,X,,,X,X,,X,,,,,,,,X,,,X,X,,,X,X,
