Destination/Source,Armor Xemnas I,Armor Xemnas II,Axel I,Axel II,Barbossa,Blizzard Lord,Cerberus,Cloud,Dark Thorn,Demyx,Demyx OC,Final Xemnas,Grim Reaper I,Grim Reaper II,Groundshaker,Hades II,Hayner,Hercules,Hostile Program,Hydra,Jafar,Larxene,Leon,Lexaeus,Luxord,Marluxia,Oogie Boogie,Past Pete,Pete TR,Prison Keeper,Riku,Roxas,Saix,Sark,Scar,Seifer,Sephiroth,Setzer,Shadow Stalker,Shan-Yu,Storm Rider,Terra,The Beast,The Experiment,Thresholder,Tifa,Twilight Thorn,Vexen,Vivi,Volcano Lord,Xaldin,Xemnas,Xigbar,Yuffie,Zexion
The Experiment,,,X,X,,,,X,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,
Thresholder,,,X,X,,X,,,,,X,,,,X,X,,,X,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,X,,,X,,,,,
Tifa,,,,,,,,,,,X,,,,,X,X,,,,,,,,,,,,X,,X,,,,,X,,X,,,,,,,,,,,X,,,,,,
Twilight Thorn,,X,X,G,G,X,,X,,,X,,X,,X,X,X,,,,,,X,,,,X,X,G,X,,,,X,X,X,,X,X,,,,G,,,X,,X,X,X,,X,,X,
Vexen,,,G,X,,X,,X,,,X,X,,,,X,X,X,,,,,X,,,,,,X,,X,,,,,G,,X,,,,,,,,X,G,,X,X,,,,X,
Vivi,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volcano Lord,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xaldin,,,X,X,,,,X,,,X,,,,X,G,G,,,,,,X,,,,,,G,,,,,,X,G,,G,,,,,,,,X,X,,G,,,,,X,
Xemnas,,,G,X,,,,G,,,X,,,,,,G,,,,,,G,,,,,,,,G,,,,,,,G,,,,,,,,G,G,,G,,,,,G,
Xigbar,,X,X,X,,,,X,,,X,,X,,,X,X,,,,X,,X,,,,,,,,X,,,,,X,,X,,,,,X,,,X,X,,X,,,,,X,
Yuffie,,,,,,,,,,,X,,,,,X,X,,,,,,,,,,,,X,,X,,,,,X,,X,,,,,,,,,,,X,,,,,,
Zexion,,G,,X,,X,,X,,,X,,,,X,X,,X,,,G,,X,,G,,G,,G,,G,G,,,X,,G,,,,,,G,,,X,,,,X,,G,X,X,
