Destination/Source,Armor Xemnas I,Armor Xemnas II,Axel I,Axel II,Barbossa,Blizzard Lord,Cerberus,Cloud,Dark Thorn,Demyx,Demyx OC,Final Xemnas,Grim Reaper I,Grim Reaper II,Groundshaker,Hades II,Hayner,Hercules,Hostile Program,Hydra,Jafar,Larxene,Leon,Lexaeus,Luxord,Marluxia,Oogie Boogie,Past Pete,Pete TR,Prison Keeper,Riku,Roxas,Saix,Sark,Scar,Seifer,Sephiroth,Setzer,Shadow Stalker,Shan-Yu,Storm Rider,Terra,The Beast,The Experiment,Thresholder,Tifa,Twilight Thorn,Vexen,Vivi,Volcano Lord,Xaldin,Xemnas,Xigbar,Yuffie,Zexion
Larxene,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,,,X,,,X,,,,X,X,X,X,X,,X,X,X,X,,X,X,X,,,X,X,X,X,X,X,X,X,,X,X,X,
Leon,,,,,,,,,,,X,,,,,X,X,,,,,,,,,,,,X,,X,,,,,X,,X,,,,,,,,,,,X,,,,,,
Lexaeus,X,,,X,X,X,X,X,,X,X,X,X,X,,X,X,X,,X,G,,X,,,,X,X,X,,X,,X,,,X,,X,X,X,,,G,X,X,X,,,X,X,,,X,X,
Luxord,X,,G,X,X,X,X,X,,X,X,X,X,X,X,X,G,X,,X,X,X,X,X,,X,X,X,X,,X,,,,X,G,,G,X,X,,,X,X,X,X,G,X,G,X,,,X,X,
Marluxia,X,,G,X,X,G,X,X,,X,X,,X,X,G,X,X,,,X,G,,X,,,,X,X,G,,,,,,G,,,,X,X,,,X,X,X,X,G,,X,G,,,X,X,
Oogie Boogie,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Past Pete,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
Pete TR,X,,,F,X,X,,X,,,X,F,X,X,F,,X,,,X,,X,X,X,,X,X,F,F,,,F,F,F,F,,,,X,X,,,X,X,X,X,F,X,X,X,,,,X,
Prison Keeper,X,,,X,X,X,,X,,,X,,X,X,,X,X,,,X,,,X,,,,X,X,X,,,,,,,,,,X,,,,X,X,X,X,,,X,X,,,,X,
Riku,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
Roxas,X,X,G,X,X,X,X,X,X,X,X,,X,X,,X,X,,X,X,,,X,,,,X,X,X,X,,,X,X,,,,X,X,X,X,,X,X,X,X,G,,X,X,X,,X,X,
Saix,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,,X,G,,X,,,,X,X,X,,X,,,,X,X,,X,X,X,,,X,X,X,X,X,,X,X,,,X,X,
Sark,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
Scar,,,,G,,,X,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
Seifer,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
Sephiroth,X,X,G,X,X,G,,X,,,X,,X,X,G,X,X,,,X,,,X,,,,G,X,X,,,,,,G,,,,X,,,,G,X,X,X,G,,X,G,,,,X,
Setzer,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
Shadow Stalker,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Shan-Yu,X,,X,X,X,X,X,,,X,X,,X,X,X,X,X,,,X,,X,,X,,X,X,X,X,,,,,,X,X,,X,X,,,,X,X,X,,X,X,X,X,,,X,,
Storm Rider,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Terra,X,G,X,X,X,X,G,X,X,X,X,,X,X,X,X,X,,X,X,G,,X,,,,G,X,X,,,,X,X,X,,,,X,X,,,G,X,X,X,X,,X,X,,,X,X,
The Beast,X,,X,X,,,,G,,,X,,X,,X,X,X,,,X,,X,G,X,,X,X,,X,,,,,,X,X,,X,,X,,,,,,G,X,X,X,,,,,G,
The Experiment,X,,X,X,X,X,,X,,,X,,X,X,,,G,,,X,,X,X,X,,X,X,,X,,,,,,,,,G,X,X,,,X,,X,X,,X,G,X,,,,X,
Thresholder,X,,X,X,,X,,,,,X,,,,X,X,,,X,X,,X,,X,,X,X,,X,,,,,,X,,,,X,X,,,,,,,X,X,,X,,,,,
Tifa,,,,,,,,,,,X,,,,,X,X,,,,,,,,,,,,X,,X,,,,,X,,X,,,,,,,,,,,X,,,,,,
Twilight Thorn,X,X,X,G,G,X,X,X,,X,X,,X,X,X,X,X,,,X,X,,X,,,,X,X,G,X,,,X,X,X,X,,X,X,X,,,G,X,X,X,,X,X,X,,X,X,X,
Vexen,X,X,G,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,,,X,,,,X,X,X,X,X,,X,X,,G,,X,X,X,X,,X,X,X,X,G,,X,X,X,,X,X,X
Vivi,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
Volcano Lord,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
Xaldin,X,,X,X,X,X,,X,,,X,,X,X,X,G,G,,,X,,,X,,,,X,,G,,,,,,X,G,,G,X,,,,X,X,X,X,X,,G,X,,,,X,
Xemnas,X,,G,X,X,X,,G,,,X,,X,X,,,G,,,X,,,G,,,,X,,X,,G,,,,,,,G,X,,,,X,X,X,G,G,,G,X,,,,G,
Xigbar,X,X,X,X,X,X,,X,,,X,,X,X,X,X,X,,,X,X,,X,,,,X,,X,,X,,,,X,X,,X,X,,,,X,,X,X,X,,X,X,,,,X,
Yuffie,,,,,,,,,,,X,,,,,X,X,,,,,,,,,,,,X,,X,,,,,X,,X,,,,,,,,,,,X,,,,,,
Zexion,X,G,G,X,X,X,,X,,X,X,G,X,X,X,X,X,X,,X,X,,X,,G,,G,X,G,,G,G,,,X,,G,,X,X,,,G,X,X,X,,,X,X,,G,X,X,
